year,gdp_growth,cpi_inflation,total_nonfinancial_debt_pct_gdp,govt_debt_pct_gdp,household_debt_pct_gdp,corporate_debt_pct_gdp,investment_pct_gdp,savings_pct_gdp,property_investment_pct_gdp,working_age_pop_pct,fertility_rate
2000,8.6,0.3,127.1,22.7,,,33.6,35.6,4.9,68.4,1.63
2001,8.3,0.7,121.1,24.3,,,35.5,37.1,5.7,69.0,1.56
2002,9.2,-0.7,136.0,25.6,,,36.1,38.7,6.3,69.7,1.57
2003,10.1,1.1,145.4,26.4,,,39.4,42.2,7.3,70.4,1.57
2004,10.1,3.8,140.9,26.0,,,41.6,45.4,8.0,71.1,1.61
2005,11.5,1.8,134.3,25.9,,,40.2,45.5,8.4,71.8,1.62
2006,12.7,1.6,134.5,25.2,10.7,97.7,39.7,47.8,8.7,72.4,1.64
2007,14.2,4.8,136.5,28.7,18.6,88.8,40.2,49.8,9.2,72.6,1.67
2008,9.7,5.9,133.0,26.7,17.6,88.4,42.0,51.3,9.6,72.8,1.7
2009,9.4,-0.7,167.3,34.0,23.1,109.9,44.9,49.9,10.2,72.9,1.71
2010,10.6,3.2,170.8,33.3,26.8,110.7,46.1,50.8,11.5,72.9,1.69
2011,9.5,5.6,170.6,33.2,27.3,110.2,46.3,48.6,12.5,72.8,1.67
2012,7.9,2.6,183.3,33.8,29.3,120.0,45.8,48.2,13.1,72.6,1.8
2013,7.8,2.6,198.6,36.4,32.7,129.2,45.9,47.0,14.2,72.3,1.71
2014,7.5,1.9,211.3,39.3,35.0,136.8,45.3,47.3,14.5,72.0,1.77
2015,7.0,1.4,227.6,40.8,38.1,148.6,42.7,45.1,13.7,71.6,1.67
2016,6.8,2.0,238.6,50.0,43.4,145.1,42.1,43.9,13.5,71.2,1.77
2017,6.9,1.6,236.3,53.9,47.3,135.2,42.6,44.3,13.0,70.7,1.8
2018,6.8,2.1,233.1,55.9,50.6,126.7,43.3,43.8,12.8,70.2,1.54
2019,6.1,2.9,239.9,59.8,54.4,125.5,42.7,43.3,13.1,69.7,1.5
2020,2.3,2.4,263.4,70.1,60.6,131.9,42.6,43.5,13.7,69.4,1.24
2021,8.6,1.0,254.7,72.1,60.0,122.5,42.7,44.7,12.6,69.2,1.12
2022,3.1,2.0,264.5,77.3,60.1,127.2,42.4,44.8,10.8,69.1,1.03
2023,5.4,0.2,277.1,84.1,60.5,132.6,41.1,42.6,8.6,69.1,1.0
2024,5.0,0.2,288.4,90.4,60.0,137.9,40.5,42.7,7.4,69.3,1.01
2025,4.9,0.1,300.1,99.2,58.0,142.8,,,5.9,69.7,
