country,year,life_expectancy,urban_pct,agriculture_pct_gdp,industry_pct_gdp,services_pct_gdp,fertility_rate,median_age
United States,1950,68.07,63.98,,,,,29.0
United States,1960,69.77,69.98,,,,3.65,28.3
United States,1970,70.81,73.5,,,,2.48,26.7
United States,1980,73.61,73.75,,,,1.84,29.1
United States,1990,75.21,75.27,,,,2.08,31.9
United States,2000,76.64,79.07,1.15,22.45,72.82,2.06,34.3
United States,2010,78.54,80.7,1.03,19.31,76.28,1.93,35.9
United States,2020,76.98,80.0,0.93,17.25,76.99,1.64,37.2
United States,2023,78.39,80.07,,,,1.62,38.0
United Kingdom,1900,45.62,,,,,,
United Kingdom,1950,68.63,80.3,,,,,33.9
United Kingdom,1960,71.13,78.55,,,,2.69,34.5
United Kingdom,1970,71.97,76.92,,,,2.44,33.2
United Kingdom,1980,73.68,78.57,,,,1.9,33.3
United Kingdom,1990,75.88,78.11,1.27,27.63,68.7,1.83,34.9
United Kingdom,2000,77.74,79.82,0.81,22.68,66.26,1.64,36.6
United Kingdom,2010,80.4,81.0,0.57,18.56,71.0,1.92,38.2
United Kingdom,2020,80.33,82.9,0.68,17.5,72.11,1.57,39.2
United Kingdom,2023,81.24,83.16,0.65,17.67,72.42,1.56,39.8
Germany,1950,66.81,70.4,,,,,32.9
Germany,1960,69.06,75.7,,,,2.37,33.7
Germany,1970,70.45,79.66,,,,2.03,33.2
Germany,1980,72.8,79.92,,,,1.44,35.7
Germany,1990,75.09,80.01,,,,1.45,36.6
Germany,2000,77.93,80.09,1.0,27.25,61.68,1.38,39.0
Germany,2010,79.99,80.31,0.78,26.04,62.71,1.39,43.3
Germany,2020,81.04,81.47,0.73,25.24,63.88,1.53,44.9
Germany,2023,81.04,81.9,0.93,26.8,63.62,1.39,45.1
Japan,1900,38.6,,,,,,
Japan,1950,59.25,36.99,,,,,21.3
Japan,1960,67.7,63.26,,,,2.0,24.7
Japan,1970,71.92,71.86,,,,2.13,28.3
Japan,1980,75.99,76.17,,,,1.75,31.7
Japan,1990,78.84,77.34,,,,1.54,36.9
Japan,2000,81.08,78.61,1.39,32.48,66.08,1.36,40.8
Japan,2010,82.84,90.62,1.11,28.84,69.7,1.39,44.2
Japan,2020,84.56,91.78,1.0,28.99,69.78,1.33,47.7
Japan,2023,84.04,92.08,0.83,27.65,70.79,1.2,49.0
South Korea,1950,22.23,20.55,,,,,17.7
South Korea,1960,53.8,27.69,36.44,17.26,39.31,5.99,18.3
South Korea,1970,62.16,40.71,26.25,24.6,40.44,4.53,17.7
South Korea,1980,66.05,56.66,14.01,31.67,43.69,2.82,20.9
South Korea,1990,71.6,73.99,7.37,36.11,47.22,1.57,25.8
South Korea,2000,75.91,79.58,3.71,34.42,52.45,1.48,30.7
South Korea,2010,80.12,81.97,2.04,34.41,54.88,1.23,36.6
South Korea,2020,83.43,81.18,1.58,33.36,56.92,0.84,42.8
South Korea,2023,83.43,81.16,1.45,32.52,58.88,0.72,44.5
China,1950,43.83,11.18,,,,,22.2
China,1960,33.42,19.75,23.12,44.3,32.58,4.45,19.9
China,1970,56.82,17.38,34.74,40.21,25.05,6.08,18.0
China,1980,64.24,19.39,29.58,47.97,22.45,2.74,20.9
China,1990,68.16,26.2,26.53,40.95,32.51,2.51,23.7
China,2000,72.29,36.43,14.53,45.07,40.4,1.63,29.0
China,2010,75.67,49.23,9.17,45.71,45.13,1.69,34.1
China,2020,78.02,63.52,7.54,36.91,55.55,1.24,37.5
China,2023,77.95,65.53,6.89,36.77,56.34,1.0,39.1
India,1950,41.18,17.19,,,,,20.0
India,1960,45.61,17.93,41.74,20.83,38.78,5.92,19.2
India,1970,48.59,19.72,40.29,21.73,35.05,5.62,18.1
India,1980,53.59,23.51,34.41,25.34,33.81,4.78,18.9
India,1990,58.62,25.58,27.58,27.45,37.04,4.04,19.7
India,2000,62.75,27.65,21.61,27.33,42.73,3.35,21.2
India,2010,67.16,30.9,17.03,30.73,45.03,2.6,23.6
India,2020,70.16,34.13,18.67,25.12,47.93,2.05,27.0
India,2023,72.0,35.07,17.66,25.55,47.59,1.98,28.1
Brazil,1900,29.0,,,,,,
Brazil,1950,48.53,36.55,,,,,17.5
Brazil,1960,53.16,44.68,0.0,0.0,0.0,6.05,16.9
Brazil,1970,57.34,53.18,0.0,0.0,0.0,4.93,17.3
Brazil,1980,61.82,67.42,0.0,43.97,43.97,4.04,19.2
Brazil,1990,65.86,74.87,6.96,33.27,60.5,2.9,21.4
Brazil,2000,69.58,81.15,4.75,23.01,58.25,2.25,24.2
Brazil,2010,73.78,84.34,4.12,23.27,57.61,1.79,28.2
Brazil,2020,74.51,86.91,5.71,19.51,61.45,1.65,32.7
Brazil,2023,75.85,87.62,6.02,22.14,59.18,1.62,33.9
Indonesia,1950,40.21,12.29,,,,,17.9
Indonesia,1960,46.84,14.61,,,,5.5,19.1
Indonesia,1970,53.25,16.8,,,,5.49,17.9
Indonesia,1980,58.7,22.15,,,,4.5,18.4
Indonesia,1990,63.25,30.59,21.55,39.38,39.07,3.11,20.6
Indonesia,2000,66.29,41.99,15.68,41.97,33.37,2.5,23.6
Indonesia,2010,68.36,49.85,13.93,42.78,40.67,2.46,26.6
Indonesia,2020,68.82,56.28,13.7,38.24,44.41,2.19,29.1
Indonesia,2023,71.15,58.12,12.53,40.22,42.88,2.13,29.8
