country,year,gdp_pc_ppp
United States,1820,1287
United States,1870,2445
United States,1900,4091
United States,1913,5301
United States,1929,6055
United States,1940,6937
United States,1950,9573
United States,1960,11328
United States,1970,15030
United States,1980,18235
United States,1990,27330
United States,2000,36330
United States,2010,48112
United States,2020,53659
United States,2022,55862
United Kingdom,1820,2126
United Kingdom,1870,4131
United Kingdom,1900,5093
United Kingdom,1913,5622
United Kingdom,1929,6558
United Kingdom,1940,8045
United Kingdom,1950,9048
United Kingdom,1960,11263
United Kingdom,1970,14990
United Kingdom,1980,18606
United Kingdom,1990,23562
United Kingdom,2000,29306
United Kingdom,2010,35651
United Kingdom,2020,39720
United Kingdom,2022,40286
Germany,1820,1528
Germany,1870,2428
Germany,1900,3648
Germany,1913,4649
Germany,1929,5727
Germany,1940,5144
Germany,1950,3881
Germany,1960,10169
Germany,1970,16263
Germany,1980,20009
Germany,1990,23648
Germany,2000,29267
Germany,2010,35332
Germany,2020,36270
Germany,2022,37324
Japan,1820,704
Japan,1870,743
Japan,1900,1387
Japan,1913,1889
Japan,1929,2857
Japan,1940,3533
Japan,1950,1921
Japan,1960,4545
Japan,1970,11434
Japan,1980,19035
Japan,1990,24245
Japan,2000,28109
Japan,2010,30962
Japan,2020,32259
Japan,2022,33817
South Korea,1820,869
South Korea,1870,910
South Korea,1900,1060
South Korea,1913,1095
South Korea,1929,1378
South Korea,1940,1470
South Korea,1950,933
South Korea,1960,1460
South Korea,1970,2208
South Korea,1980,5062
South Korea,1990,11476
South Korea,2000,17238
South Korea,2010,25887
South Korea,2020,31362
South Korea,2022,32248
China,1820,882
China,1870,945
China,1900,972
China,1913,985
China,1929,1003
China,1940,1003
China,1950,799
China,1960,1057
China,1970,1398
China,1980,1930
China,1990,2982
China,2000,4730
China,2010,9658
China,2020,17226
China,2022,19238
India,1820,1102
India,1870,1028
India,1900,1046
India,1913,1048
India,1929,1087
India,1940,1019
India,1950,619
India,1960,769
India,1970,979
India,1980,1269
India,1990,1656
India,2000,2163
India,2010,3694
India,2020,6427
India,2022,7143
Brazil,1820,867
Brazil,1870,1084
Brazil,1900,874
Brazil,1913,1046
Brazil,1929,1465
Brazil,1940,1610
Brazil,1950,2236
Brazil,1960,3398
Brazil,1970,4635
Brazil,1980,8249
Brazil,1990,7842
Brazil,2000,9834
Brazil,2010,14216
Brazil,2020,13686
Brazil,2022,14640
Indonesia,1820,938
Indonesia,1870,988
Indonesia,1900,971
Indonesia,1913,896
Indonesia,1929,1028
Indonesia,1940,1042
Indonesia,1950,846
Indonesia,1960,839
Indonesia,1970,972
Indonesia,1980,1540
Indonesia,1990,2392
Indonesia,2000,3694
Indonesia,2010,4970
Indonesia,2020,7043
Indonesia,2022,7536
Vietnam,1820,722
Vietnam,1870,640
Vietnam,1900,668
Vietnam,1913,723
Vietnam,1929,916
Vietnam,1940,1018
Vietnam,1950,725
Vietnam,1960,911
Vietnam,1970,997
Vietnam,1980,1033
Vietnam,1990,1623
Vietnam,2000,2715
Vietnam,2010,5137
Vietnam,2020,8699
Vietnam,2022,9640
Nigeria,1820,682
Nigeria,1870,650
Nigeria,1900,662
Nigeria,1913,652
Nigeria,1929,755
Nigeria,1940,878
Nigeria,1950,862
Nigeria,1960,896
Nigeria,1970,1084
Nigeria,1980,1447
Nigeria,1990,1368
Nigeria,2000,1531
Nigeria,2010,2269
Nigeria,2020,2094
Nigeria,2022,2207
