country,total_fertility_rate,crude_birth_rate,crude_death_rate,natural_increase_per_1000,birth_to_death_ratio,median_age_years,old_age_dependency_pct,pop_millions_2024,pop_peak_year,pop_millions_2050,pop_millions_2100,annual_pop_growth_pct
Italy,1.20,6.3,12.7,-6.4,0.50,47.6,37.3,59.3,2014,51.0,42.4,-0.27
Japan,1.20,6.9,11.7,-4.7,0.59,49.0,53.3,123.8,2008,105.0,74.3,-0.63
Germany,1.39,8.4,11.8,-3.4,0.71,45.1,36.3,84.1,2023,80.3,74.6,-0.13
China,1.00,6.3,8.2,-2.0,0.76,39.1,19.7,1420.0,2021,1313.0,633.0,-0.08
South Korea,0.72,4.6,6.4,-1.8,0.72,44.5,24.2,51.7,2020,45.1,21.8,0.40
United Kingdom,1.56,11.0,9.4,1.6,1.17,39.8,31.3,69.1,~2085,75.5,74.3,0.64
United States,1.62,11.1,8.3,2.8,1.33,38.0,28.1,345.4,>2100,381.0,421.0,0.49
Brazil,1.62,12.3,7.1,5.2,1.74,33.9,15.3,212.6,~2048,228.0,181.0,0.72
Indonesia,2.13,16.6,6.9,9.7,2.41,29.8,9.8,283.5,~2055,321.0,268.0,0.76
Vietnam,1.91,15.8,6.0,9.8,2.64,32.4,11.9,101.0,~2054,110.0,92.0,0.61
India,1.98,18.1,7.3,10.8,2.47,28.1,8.9,1450.9,~2061,1680.0,1505.0,0.81
Nigeria,4.48,40.7,12.3,28.4,3.31,17.8,6.5,232.7,>2100,359.0,477.0,2.54
