country,year,gdp_growth,cpi_inflation,unemployment,debt_gdp_pct,deficit_gdp_pct,policy_rate,gov_10y_yield
UK,2000,4.52,0.8,5.6,37.7,1.4,6.00,5.33
UK,2001,2.39,1.2,4.7,35.0,0.3,4.00,5.01
UK,2002,1.71,1.3,5.0,35.4,-2.0,4.00,4.91
UK,2003,3.22,1.4,4.8,36.8,-3.2,3.75,4.58
UK,2004,2.33,1.3,4.6,39.8,-3.2,4.75,4.93
UK,2005,2.79,2.1,4.9,41.0,-3.1,4.50,4.46
UK,2006,2.19,2.3,5.5,42.1,-2.8,5.00,4.37
UK,2007,2.93,2.3,5.4,43.2,-2.7,5.50,5.06
UK,2008,-0.05,3.6,5.7,50.8,-5.1,2.00,4.50
UK,2009,-4.59,2.2,7.7,64.9,-10.1,0.50,3.36
UK,2010,2.26,3.3,8.0,75.9,-9.2,0.50,3.36
UK,2011,0.85,4.5,8.2,81.4,-7.4,0.50,2.87
UK,2012,1.53,2.8,8.3,84.5,-7.4,0.50,1.74
UK,2013,1.72,2.6,7.8,85.3,-5.3,0.50,2.03
UK,2014,3.16,1.5,6.4,87.1,-5.5,0.50,2.14
UK,2015,2.14,0.0,5.6,87.9,-4.6,0.50,1.79
UK,2016,2.21,0.7,4.9,87.8,-3.3,0.25,1.22
UK,2017,3.02,2.7,4.5,86.7,-2.5,0.50,1.18
UK,2018,1.55,2.5,4.1,86.3,-2.3,0.75,1.41
UK,2019,1.26,1.8,3.7,85.7,-2.5,0.75,0.88
UK,2020,-10.05,0.9,4.5,105.8,-13.2,0.10,0.32
UK,2021,8.54,2.6,4.9,105.1,-7.7,0.25,0.74
UK,2022,5.15,9.1,3.8,99.6,-4.6,3.50,2.38
UK,2023,0.27,7.3,4.0,100.4,-6.1,5.25,4.01
UK,2024,1.08,2.5,4.4,101.2,-5.7,4.75,4.12
UK,2025,1.39,3.4,4.7,103.9,-4.4,3.75,4.58
Euro area,2000,3.90,2.1,9.6,69.2,-1.3,3.75,5.43
Euro area,2001,2.19,2.4,8.7,68.2,-2.0,2.25,5.00
Euro area,2002,0.96,2.3,8.9,68.1,-2.8,1.75,4.91
Euro area,2003,0.77,2.1,9.1,69.4,-3.2,1.00,4.14
Euro area,2004,2.33,2.2,9.3,69.7,-2.9,1.00,4.12
Euro area,2005,1.79,2.2,9.2,70.3,-2.7,1.25,3.42
Euro area,2006,3.34,2.2,8.4,68.3,-1.6,2.50,3.84
Euro area,2007,3.02,2.2,7.5,65.9,-0.7,3.00,4.32
Euro area,2008,0.43,3.4,7.5,69.6,-2.3,2.00,4.31
Euro area,2009,-4.48,0.3,9.6,80.0,-6.3,0.25,3.82
Euro area,2010,2.12,1.6,10.2,85.4,-6.3,0.25,3.60
Euro area,2011,1.78,2.7,10.3,87.3,-4.2,0.25,4.34
Euro area,2012,-0.91,2.5,11.4,90.8,-3.9,0.00,3.86
Euro area,2013,-0.17,1.4,12.0,92.8,-3.2,0.00,2.99
Euro area,2014,1.45,0.4,11.6,92.9,-2.5,-0.20,2.04
Euro area,2015,2.15,0.2,10.8,91.0,-2.0,-0.30,1.21
Euro area,2016,1.81,0.2,10.0,89.9,-1.5,-0.40,0.86
Euro area,2017,2.62,1.5,9.0,87.5,-1.0,-0.40,1.09
Euro area,2018,1.78,1.8,8.1,85.5,-0.4,-0.40,1.12
Euro area,2019,1.63,1.2,7.4,83.6,-0.5,-0.50,0.44
Euro area,2020,-6.04,0.3,7.8,96.5,-7.0,-0.50,0.04
Euro area,2021,6.44,2.6,7.7,93.8,-5.1,-0.50,0.06
Euro area,2022,3.66,8.4,6.7,89.3,-3.4,2.00,1.87
Euro area,2023,0.46,5.4,6.5,87.0,-3.5,4.00,3.15
Euro area,2024,0.94,2.4,6.3,87.1,-3.1,3.00,2.92
Euro area,2025,1.41,2.1,6.3,89.0,-3.0,2.00,3.09
Germany,2000,2.88,1.4,7.9,59.2,-1.7,3.75,5.26
Germany,2001,1.64,1.9,7.8,58.1,-3.1,2.25,4.80
Germany,2002,-0.23,1.3,8.5,59.8,-4.1,1.75,4.78
Germany,2003,-0.53,1.1,9.8,63.3,-3.8,1.00,4.07
Germany,2004,1.16,1.8,10.7,65.0,-3.4,1.00,4.04
Germany,2005,0.89,1.9,11.2,67.1,-3.4,1.25,3.35
Germany,2006,3.87,1.8,10.3,66.4,-1.8,2.50,3.76
Germany,2007,2.89,2.3,8.7,63.7,0.2,3.00,4.22
Germany,2008,0.89,2.8,7.5,65.2,-0.3,2.00,3.98
Germany,2009,-5.54,0.2,7.9,72.3,-3.2,0.25,3.22
