year,real_gdp_growth_pct,inflation_avg_pct,govt_gross_debt_pct_gdp,fiscal_balance_pct_gdp,current_account_pct_gdp,gdp_per_capita_usd,gdp_usd_billion,gdp_per_capita_ppp,population_million,is_projection
2015,2.7,9,14.9,-2.7,-2.2,3650.711,696.088,7251.712,190.672,actual
2016,-1.6,15.7,17.4,-3.3,0.9,2918.237,570.351,7026.409,195.444,actual
2017,0.8,16.5,18,-3.8,2.6,2642.355,529.144,7036.674,200.255,actual
2018,1.9,12.1,20.4,-3.1,1.2,2897.926,593.897,7158.171,204.939,actual
2019,2.2,11.4,21.4,-3.3,-2,3189.809,668.219,7551.394,209.486,actual
2020,-6.4,13.2,25.7,-4,-2.7,2797.831,598.725,7414.775,213.996,actual
2021,1.1,17,26.6,-4,-0.5,2789.005,609.479,7588.479,218.529,actual
2022,4.3,18.8,29.8,-4,0.2,2893.477,645.682,8303.635,223.151,actual
2023,3.3,24.7,36.3,-3.1,1.3,2138.585,487.347,8711.664,227.883,actual
2024,4.1,33.2,39.3,-1.3,6.8,1083.505,252.109,9099.862,232.679,actual
2025,4,23,35.5,-1.8,5.1,1222.723,290.491,9532.923,237.577,forecast
2026,4.1,16,32.3,-4.4,5.8,1555.645,377.365,9993.599,242.578,forecast
2027,4.3,15.9,33.1,-2.9,3.1,1565.084,387.645,10434.974,247.683,forecast
2028,4.1,12.7,32.5,-2.3,2.7,1603.747,405.582,10816.929,252.897,forecast
2029,4.2,10,31.7,-2.2,3,1683.89,434.814,11239.024,258.22,forecast
2030,4.2,10,30.9,-2.1,3,1763.048,464.836,11678.811,263.655,forecast
2031,4.2,10,30.1,-1.9,3.3,1843.523,496.284,12131.423,269.204,forecast
