year,gdp_growth,cpi_inflation,unemployment,govt_debt_gross_pct_gdp,govt_debt_net_pct_gdp,policy_rate,boj_balance_sheet_pct_gdp,jgb_10y_yield,working_age_pop_pct,fertility_rate
1980,3.2,7.8,2,41.4,,7.25,,8.93,67.5,1.75
1981,4.3,4.9,2.2,45.8,,5.5,,9.01,67.4,1.74
1982,3.3,2.7,2.4,50.1,,5.5,,8.27,67.4,1.77
1983,3.6,1.9,2.7,55.1,,5,,7.38,67.6,1.8
1984,4.4,2.3,2.7,56.9,,5,,7,67.8,1.81
1985,5.2,2,2.6,59.2,,5,,6.55,68,1.76
1986,3.3,0.6,2.8,64.2,,3,,5.41,68.3,1.72
1987,4.6,0.1,2.9,65.7,,2.5,,5,68.7,1.69
1988,6.7,0.7,2.5,62.4,,2.5,,4.97,69.1,1.66
1989,4.9,2.3,2.3,56.9,,4.25,,5.13,69.5,1.57
1990,4.8,3.1,2.1,54.8,18.7,6,,6.96,69.8,1.54
1991,3.5,3.3,2.1,54.1,16.9,4.5,,6.34,70,1.53
1992,0.9,1.7,2.2,57.9,19,3.25,,5.33,70,1.5
1993,-0.5,1.3,2.5,63.2,23.1,1.75,,4.32,70,1.46
1994,0.9,0.7,2.9,73.3,29,1.75,,4.36,69.9,1.5
1995,2.3,-0.1,3.2,80.7,33.7,0.5,,3.44,69.7,1.42
1996,3.1,0.1,3.4,85.3,38.3,0.5,,3.1,69.5,1.43
1997,1.4,1.7,3.4,91.3,44.1,0.5,,2.37,69.2,1.39
1998,-1.8,0.7,4.1,101.6,53.5,0.25,16.8,1.54,68.9,1.38
1999,-0.3,-0.3,4.7,113.5,62.7,0.02,20.8,1.75,68.5,1.34
2000,3,-0.7,4.7,118.5,66.8,0.25,19.6,1.74,68.2,1.36
2001,0.3,-0.7,5,126.8,73.5,0,21.8,1.32,67.7,1.33
2002,0.1,-0.9,5.4,134.6,82.2,0,23.5,1.26,67.3,1.32
2003,1.4,-0.3,5.2,140.2,88.5,0,24.8,1,67,1.29
2004,2.1,0,4.7,148.8,93.3,0,27,1.49,66.5,1.29
2005,1.8,-0.3,4.4,153.4,93.2,0,29,1.35,66,1.26
2006,1.5,0.3,4.1,152.1,92.2,0.25,21.4,1.74,65.4,1.32
2007,1.7,0,3.8,150.4,93.5,0.5,20.4,1.67,64.8,1.34
2008,-1.2,1.4,4,153.6,104.5,0.1,23,1.47,64.2,1.37
2009,-5.9,-1.3,5.1,172.9,119.2,0.1,24.5,1.33,63.8,1.37
2010,4.1,-0.7,5.1,178.6,127.7,0.1,25.2,1.15,63.5,1.39
2011,-0.2,-0.3,4.6,190.6,138.9,0.1,28.5,1.1,63.1,1.39
2012,1.6,0,4.3,197.1,142.6,0.1,31.3,0.84,62.3,1.41
2013,2,0.3,4,201.2,141.1,0.1,43.5,0.69,61.5,1.43
2014,0.9,2.8,3.6,203.6,140.1,0.1,56.8,0.52,60.8,1.42
2015,1.8,0.8,3.4,200.1,140.4,0.1,69.8,0.35,60.2,1.45
2016,0.7,-0.1,3.1,202.1,142.9,-0.1,85.7,-0.07,59.8,1.44
2017,1.6,0.5,2.8,203.1,144.3,-0.1,92.3,0.05,59.4,1.43
2018,0.8,1,2.4,203.7,146.7,-0.1,97,0.06,59.2,1.42
2019,-0.3,0.5,2.4,206.3,148.2,-0.1,100.2,-0.11,59,1.36
2020,-4.3,0,2.8,228.8,160.8,-0.1,126.9,-0.01,58.9,1.33
2021,3.6,-0.2,2.8,222.7,157.5,-0.1,126.2,0.07,58.7,1.3
2022,1.3,2.5,2.6,227.8,159.6,-0.1,120.3,0.23,58.7,1.26
2023,0.7,3.3,2.6,220.3,149.5,-0.1,121.7,0.56,58.8,1.2
2024,-0.2,2.7,2.5,214.5,141.7,0.25,117.9,0.92,58.8,1.15
2025,1.2,3.2,2.5,206.5,136.5,0.75,102.2,1.55,,
