variable,year,p5,p25,p50,p75,p95,mean
gdp_pc_usd,2026,1234.0,1324.7,1391.4,1460.0,1566.1,1394.5
gdp_pc_usd,2027,1271.1,1407.4,1513.0,1625.0,1803.5,1521.0
gdp_pc_usd,2028,1339.9,1506.0,1639.7,1788.7,2060.1,1660.4
gdp_pc_usd,2029,1470.4,1641.8,1779.4,1957.7,2313.2,1821.9
gdp_pc_usd,2030,1627.1,1803.0,1947.4,2152.4,2574.1,2006.3
debt_to_gdp,2026,32.2,33.8,35.1,36.4,38.4,35.2
debt_to_gdp,2027,30.4,32.8,34.5,36.6,39.6,34.7
debt_to_gdp,2028,29.0,32.0,34.1,36.4,39.6,34.2
debt_to_gdp,2029,28.0,31.3,33.6,35.9,39.1,33.6
debt_to_gdp,2030,27.1,30.6,33.1,35.4,38.5,33.0
real_wage,2026,58.5,60.4,61.7,63.0,64.9,61.7
real_wage,2027,46.2,52.2,77.0,81.3,100.5,74.0
real_wage,2028,35.9,41.5,68.1,72.8,93.2,65.1
real_wage,2029,28.5,33.7,60.8,65.6,87.1,57.9
real_wage,2030,23.3,28.1,54.5,59.5,81.8,52.1
poverty,2026,47.8,49.1,49.9,50.7,52.4,50.0
poverty,2027,45.0,47.5,48.8,50.3,53.6,49.0
poverty,2028,42.0,45.9,47.7,49.7,54.5,47.9
poverty,2029,39.2,44.2,46.5,49.1,55.1,46.8
poverty,2030,36.4,42.6,45.2,48.3,55.4,45.6
dsr,2026,53.2,54.7,56.0,57.3,59.4,56.1
dsr,2027,46.6,50.0,52.7,57.3,64.0,53.9
dsr,2028,41.3,46.8,50.6,57.8,67.9,52.5
dsr,2029,38.2,44.4,48.5,56.4,67.1,50.5
dsr,2030,35.3,42.8,47.2,54.8,65.3,48.7
