year,petrol_ngn_litre,petrol_usd_litre,diesel_ngn_litre,lpg_12_5kg_ngn,electricity_banda_ngn_kwh,rice_50kg_ngn,food_inflation_dec_pct,food_insecure_lean_million
2015,87,0.45,,,,,10.6,
2016,120,0.57,,,,,15.70,
2017,145,0.47,,,,,19.4,
2018,145,0.47,,,,,13.6,
2019,145,0.47,,,,,14.7,
2020,148,0.41,,,,,19.56,9.8
2021,165,0.41,254,5200,,,17.37,13.8
2022,190,0.45,675,9000,,25309,23.75,19.5
2023,500,0.69,875,9500,66,45897,33.93,25.3
2024,868,0.59,1300,15000,225,97220,39.84,26.5
2025,1100,0.72,1550,18500,209,95689,10.84,33.1
2026,1596,1.07,3277,,209,93818,,34.7
