year,total_debt_ngn_trn,total_debt_usd_bn,external_debt_share_pct,debt_to_gdp_dmo_pct,debt_service_rev_gross_pct,debt_service_rev_retained_pct,imf_interest_to_rev_pct,ways_means_ngn_trn,fed_collected_rev_ngn_trn,oil_rev_share_pct,reserves_gross_cbn_usd_bn,reserves_wb_inclgold_usd_bn,reserves_net_usd_bn,import_cover_months,current_account_usd_bn,current_account_pct_gdp,ngn_usd_official_ye,ngn_usd_parallel_ye,parallel_premium_pct,reer_2010base,mpr_ye_pct,inflation_avg_pct,inflation_dec_pct,food_inflation_dec_pct,bonny_light_usd_bbl,oil_production_mbpd,terms_of_trade_2015base,min_wage_ngn_month,min_wage_usd_month,real_min_wage_idx_2015,extreme_poverty_3usd_pct
2015,12.60,65.43,16.7,,,,,1.75,6.91,55.4,28.28,29.01,,4.07,-15.44,-2.2,197,266,35.5,119.86,11.00,9.01,9.55,,52.95,2.17,100.0,18000,93,100.0,
2016,17.36,57.39,20.0,,,,,2.63,5.62,48.0,26.99,28.02,,6.17,5.08,0.9,305,490,61.0,110.86,14.00,15.70,18.55,,44.02,,88.8,18000,71,86.4,
2017,21.73,70.99,26.0,,57,,,,7.44,55.2,38.77,40.50,,8.00,13.56,2.6,360,363,1.0,101.45,14.00,16.50,15.37,,54.55,,100.3,18000,59,74.2,
2018,24.39,79.44,32.0,,51,,,5.40,9.59,57.9,43.12,42.84,,6.05,7.28,1.2,364,364,0.0,109.90,14.00,12.10,11.44,13.56,72.11,,114.9,18000,59,66.2,
2019,27.40,84.05,33.0,,,,,9.04,9.83,52.0,38.60,39.38,,4.21,-13.69,-2.0,363,362,0.0,124.18,13.50,11.40,11.98,14.67,65.63,2.0,105.4,30000,98,99.0,
2020,32.92,86.39,38.0,21.61,81.1,81.1,,13.11,8.77,47.4,35.37,38.03,,5.80,-15.99,-2.7,410.25,470,14.6,119.52,11.50,13.25,15.75,19.56,41.53,1.8,78.8,30000,84,87.4,
2021,39.56,95.77,40.0,,96,96,,17.46,10.47,39.6,40.23,41.73,14.0,6.42,-3.25,-0.5,435.00,570,31.0,117.05,11.50,16.95,15.63,17.37,70.63,,121.0,30000,75,74.8,
2022,46.25,103.11,40.4,,80.6,111.8,88,22.70,13.87,33.6,36.61,36.81,3.7,4.82,1.02,0.2,461.50,735,59.3,133.33,16.50,18.85,21.34,23.75,103.63,,147.2,30000,71,62.9,41.82
2023,97.34,108.23,39.3,38.0,64.5,,48.7,7.94,19.25,29.4,33.22,33.45,3.99,5.12,6.42,1.3,907.11,1210,33.4,115.58,18.75,24.66,28.92,33.93,83.46,1.51,127.7,30000,47,50.5,
2024,144.67,94.23,48.59,52.13,61,116.8,40.8,3.27,,25.8,40.19,40.41,23.11,7.11,19.03,6.8,1535.80,1660,8.1,63.93,27.50,33.24,34.80,39.84,82.22,1.56,,70000,47,88.4,47.7
2025,159.28,110.97,46.73,39.4,44,113,53.2,,,,45.71,,34.80,8.0,14.04,5.1,1429.00,1477,3.4,,27.00,23.0,15.15,10.84,72,1.64,,70000,45,71.8,50.9
2026,,,,,48,,53.7,2.84,,,51.04,,,,21.93,5.8,1379,1400,1.5,,26.50,16.0,,,,1.63,,70000,48,61.9,
