period,total_debt_ngn_trn,total_debt_usd_bn,ngn_usd_official,ngn_usd_parallel,reserves_gross_usd_bn,mpr_pct,inflation_yoy_pct,bonny_light_usd_bbl
2020Q1,,,385,,,13.50,12.26,
2020Q2,,,386,,,12.50,12.56,
2020Q3,,,386,,,11.50,13.71,
2020Q4,,,410.25,470,35.37,11.50,15.75,
2021Q1,,,408.67,,,11.50,18.17,
2021Q2,,,411,,,11.50,17.75,
2021Q3,,,411.67,,,11.50,16.63,
2021Q4,,,435.00,570,40.23,11.50,15.63,
2022Q1,,,417,,,11.50,15.92,
2022Q2,,,425.05,,,13.00,18.60,
2022Q3,,,437.03,,,15.50,20.77,
2022Q4,46.25,103.11,461.50,735,36.61,16.50,21.34,
2023Q1,49.85,108.30,461.50,,,18.00,22.04,
2023Q2,87.38,113.42,769.25,,,18.50,22.79,
2023Q3,87.91,114.35,755.27,1000,33.28,18.75,26.72,
2023Q4,97.34,108.23,907.11,1210,33.22,18.75,28.92,
2024Q1,121.67,91.46,1309.39,1250,,24.75,33.20,
2024Q2,134.30,91.35,1505.30,,,26.25,34.19,
2024Q3,142.30,88.90,1541,1700,37.31,27.25,32.70,
2024Q4,144.67,94.23,1535.80,1660,40.19,27.50,34.80,
2025Q1,149.39,97.24,1536.82,1560,,27.50,24.23,77.4
2025Q2,152.40,99.66,1532,,37.71,27.50,22.22,69.5
2025Q3,153.29,103.94,1480.15,1505,42.03,27.00,18.02,71.3
2025Q4,159.28,110.97,1429.00,1477,45.71,27.00,15.15,67.0
2026Q1,,,1383,,,26.50,15.38,
2026Q2,,,1379.22,1400,51.04,26.50,15.93,
