year,external_debt_wdi_usd_bn,public_external_debt_usd_bn,real_gdp_growth_pct,gdp_usd_bn,inflation_avg_pct,ngn_usd_official_avg,reserves_usd_bn,oil_price_usd_bbl,oil_production_mbpd,current_account_pct_gdp
1980,8.94,8.9,4.2,64.2,10.0,0.55,10.6,37.42,2.05,8.1
1981,11.45,,-13.1,164.5,20.8,0.62,4.2,35.75,1.43,-3.9
1982,11.99,,-6.8,142.8,7.7,0.67,1.9,31.83,1.28,
1983,17.58,,-10.9,97.1,23.2,0.72,1.3,29.08,1.23,
1984,17.78,,-1.1,73.5,17.8,0.77,1.7,28.75,1.38,
1985,18.66,19.0,5.9,73.7,7.4,0.89,1.9,26.92,1.49,3.5
1986,22.22,,0.1,54.8,5.7,1.75,1.3,14.44,1.46,
1987,29.02,,3.2,52.7,11.3,4.02,1.5,18.53,1.34,
1988,29.62,,7.3,49.6,54.5,4.54,0.9,14.91,1.38,
1989,30.12,,1.9,44.0,50.5,7.37,2.0,18.23,1.76,
1990,33.46,33.1,11.8,54.0,7.4,8.04,4.1,23.76,1.77,9.2
1991,33.53,35.9,0.4,59.5,13.0,9.91,4.7,20.04,1.94,
1992,29.02,,4.6,52.1,44.6,17.30,1.2,19.32,2.01,
1993,30.70,,-2.0,56.7,57.2,22.07,1.6,17.01,1.99,-1.4
1994,33.09,,-1.8,80.4,57.0,22.00,1.6,15.86,1.90,-2.6
1995,34.09,,-0.1,140.9,72.8,21.90,1.7,17.02,1.92,-0.6
1996,31.41,,4.2,185.7,29.3,21.88,4.3,20.64,1.95,
1997,28.47,,2.9,200.9,8.5,21.89,7.8,19.11,1.95,
1998,30.31,,2.6,218.4,10.0,21.89,7.3,12.76,2.00,-0.6
1999,29.10,28.0,0.6,59.1,6.6,92.34,5.6,17.90,1.87,
2000,33.51,,5.0,69.2,6.9,101.70,10.1,28.66,2.15,10.7
2001,34.98,,5.9,73.6,18.9,111.23,10.6,24.46,2.13,
2002,36.78,,15.3,95.1,12.9,120.58,7.6,24.99,1.92,
2003,41.86,,7.3,104.7,14.0,129.22,7.4,28.85,2.27,
2004,45.91,35.99,9.3,135.8,15.0,132.89,17.3,38.26,2.46,12.4
2005,33.65,20.5,6.4,175.7,17.9,131.27,28.6,54.57,2.45,20.8
2006,17.49,3.5,6.1,238.5,8.2,128.65,42.7,65.16,2.34,15.3
2007,19.48,3.7,6.6,278.3,5.4,125.81,51.9,72.44,2.17,9.9
2008,20.42,3.7,6.8,339.5,11.6,118.57,53.6,96.94,2.13,8.6
2009,22.75,3.9,8.0,295.0,12.5,148.88,43.1,61.74,2.16,4.7
2010,29.15,4.6,8.0,367.0,13.7,150.30,33.3,79.61,2.46,3.6
2011,34.13,5.7,5.3,414.5,10.8,153.86,33.7,111.26,2.39,2.6
2012,39.28,6.5,4.2,464.0,12.2,157.50,45.0,111.63,2.35,3.7
2013,42.60,8.8,6.7,520.1,8.5,157.31,43.7,108.56,2.21,3.7
2014,46.67,9.7,6.3,574.2,8.0,158.55,35.1,98.97,2.21,0.2
