year,unemployment_old_pct,unemployment_new_pct,underemployment_new_pct,youth_unemployment_new_pct,lfpr_new_pct,informal_emp_pct,note
2015,10.4,,,,,,Old 13th-ICLS (Q4); youth 15-34 old-method 42.5 (2020)
2016,14.2,,,,,,Old (Q4)
2017,18.8,,,,,,Old (Q3); underemp 21.2
2018,23.1,,,,,,Old (Q3)
2019,,,,,,,No NBS survey - data gap
2020,33.3,,,,,,Old method last print (Q4); youth 15-24 = 53.4
2021,,,,,,,No survey - data gap
2022,,5.3,13.7,,,,New 19th-ICLS NLFS first print (Q4-22); NOT comparable to old series
2023,,4.4,12.2,8.6,79.5,92.3,New (avg of Q1-Q3); informal Q3
2024,,4.7,9.9,6.5,78.0,93.0,New (avg Q1-Q4); informal Q2
2025,,,,,,,NLFS round in field - not yet published
2026,,,,,,,
