year,ngx_asi_ye,ngx_asi_return_pct,equity_mktcap_ngn_trn,equity_mktcap_usd_bn,eurobond_2032_yield_pct,cds_5yr_bps,fpi_foreign_share_pct
2015,28642.25,-17.36,9.85,49,,,
2016,26874.62,-6.17,,,,,
2017,38243.19,42.30,,,,,
2018,31430.50,-17.81,11.73,32,,,
2019,26842.07,-14.60,12.79,35,,,
2020,40270.72,50.03,21.06,53,,,
2021,42716.44,6.07,,,,,
2022,51251.06,19.98,27.92,60,,,
2023,74773.77,45.90,40.92,45,10.80,,
2024,102926.40,37.65,62.76,41,,,15
2025,155613.03,51.19,99.38,68.7,,,21
2026,,,131,89,6.72,377,
