year,canada_study_permits,canada_work_permits,canada_pr_admissions,uk_nmc_nurse_joiners,uk_nmc_nurse_stock,us_students_enrolled,us_f1_visas,uk_study_visa_main,remittances_usd_bn,net_migration_persons,emigration_intent_pct
2015,,,,,,10674,,,,,
2016,,,,,,11710,,,,,
2017,,,,,,12693,,,,78685,35
2018,,,,,,13423,,,,-76565,
2019,7505,2970,12600,696,3695,13762,4436,6798,23.81,-99722,
2020,5830,2975,6360,684,4318,12860,1233,,17.21,-14497,
2021,9510,3695,15595,3010,7265,14438,6311,,19.48,-86115,
2022,16085,4825,22130,3460,10643,17640,7547,65929,20.13,-51680,
2023,37460,13860,17465,3173,13656,20029,7466,,19.55,-57936,
2024,26435,17260,20395,2363,15760,21847,6175,,21.29,-35202,56
2025,25395,18330,16355,,,,,,,,
