year,broad_money_ngn_trn,broad_money_basis,m3_growth_pct,credit_private_sector_ngn_trn,credit_to_gdp_wb_pct,mpr_ye_pct,max_lending_rate_pct,ntb_364day_pct,fgn_bond_10yr_pct,npl_ratio_pct,car_pct
2015,18.74,M2,,,,11.00,,,,,
2016,20.91,M2,,,,14.00,,,,,
2017,,M2,,,,14.00,,,,14.8,10.5
2018,,M2,,,,14.00,,,,,
2019,,M2,,26.0,11.16,13.50,,,,,
2020,38.63,M3,,26.4,12.13,11.50,,0.23,,,15.2
2021,43.82,M3,13.4,35.0,,11.50,,,,4.93,
2022,52.16,M3,19.0,41.8,14.09,16.50,,,,4.01,14.0
2023,78.74,M3,51.0,62.54,,18.75,,12.5,15.50,4.0,13.3
2024,113.36,M3,44.0,75.96,,27.50,29.71,22.6,21.5,4.50,12.52
2025,124.40,M3,9.7,77.0,,27.00,29.13,16.0,17.0,7.0,12.0
2026,,M3,,,,26.50,34.78,,17.55,9.85,12.0
