year,vc_funding_usd_m,vc_deal_count,africa_vc_rank,fintech_share_pct,fdi_nbs_usd_m,note
2015,,,,,,Africa total $185.8M (Disrupt Africa)
2016,109,,,,,29.8% of Africa $366.8M (Partech)
2017,,,,,,Tracker divergence (Partech $560M vs Disrupt $195M Africa)
2018,,,,,,Africa total $334.5M (Disrupt Africa)
2019,650,,1,66,,~1/3 of Africa $2.02B; fintech 66% of African fintech investment
2020,307,,1,,,Partech (Kenya #2 $304M)
2021,1500,,1,73.5,,Peak; fintech 73.5% of Nigeria funding
2022,1200,,1,,,-36% YoY; 25.4% of Africa value
2023,468,,2,,377,-59% YoY trough; SA #1; FDI (NBS) $377M
2024,520,103,1,,,Partech; regained #1; AVCA puts $576M
2025,572,102,4,,,Partech equity+debt; equity-only ~$186M; slipped to #4
