year,acled_events,acled_fatalities,gti_rank,new_conflict_displacements,hdi,life_expectancy,under5_mortality_per1000,electricity_access_pct,outofschool_million
2015,952,11075,3,737000,0.530,51.94,117.8,52.5,
2016,786,4826,3,501000,,52.19,117.4,59.3,
2017,951,4912,3,279000,,52.40,117.2,54.4,
2018,1400,6087,3,541000,,52.67,117.2,56.5,
2019,1634,5925,3,248000,,53.01,117.4,55.4,
2020,2854,8420,,169000,0.547,53.07,117.4,55.4,
2021,3526,10943,6,376000,0.554,53.46,117.6,59.5,
2022,3730,10929,8,148000,0.557,54.08,117.5,60.5,
2023,3546,8688,8,291000,0.560,54.46,116.8,61.2,18.3
2024,4400,9896,6,,,54.64,115.6,,
2025,5515,12883,4,,,,,,
2026,3404,8175,,,,,,,
