scenario,year,nominal_gdp_ngn_trn,usd_gdp_bn,gdp_per_capita_usd,debt_to_gdp_pct,debt_service_to_rev_pct,real_min_wage_idx_2015,extreme_poverty_pct
base,2025,441.5,294.3,1239,36.1,,71.8,50.9
base,2026,527.5,340.3,1399,34.9,55.6,61.9,49.9
base,2027,625.4,379.1,1521,34.3,52.3,77.3,48.7
base,2028,732.5,421.0,1650,33.8,50.2,68.4,47.5
base,2029,851.0,467.6,1790,33.4,48.0,61.1,46.3
base,2030,984.3,523.6,1957,32.8,46.7,54.8,45.0
bull,2025,441.5,294.3,1239,36.1,,71.8,50.9
bull,2026,521.3,359.5,1478,33.6,54.5,63.0,48.8
bull,2027,602.2,430.1,1726,31.6,48.3,97.8,46.2
bull,2028,684.1,503.0,1972,30.2,42.8,90.1,43.4
bull,2029,768.6,577.9,2212,29.2,39.7,83.8,40.8
bull,2030,859.5,656.1,2453,28.5,36.9,78.3,38.2
bear,2025,441.5,294.3,1239,36.1,,71.8,50.9
bear,2026,536.9,315.8,1298,37.0,58.1,59.9,51.1
bear,2027,683.3,333.3,1338,37.9,61.5,47.5,51.9
bear,2028,885.1,361.3,1416,37.7,64.7,37.1,52.3
bear,2029,1121.7,407.9,1561,37.0,63.7,29.7,52.6
bear,2030,1389.8,463.3,1732,36.3,61.6,24.3,52.6
