scenario,year,fx,inflation_pct,reserves_usd,cover_m,debt_to_gdp,dollarization_pct,lambda_pct,walras_residual
base,2026,1529,9.7,72.3,41.8,35.7,19.1,39.0,0.0
base,2027,1557,9.6,102.1,53.7,37.0,21.8,36.0,0.0
base,2028,1583,9.6,128.6,61.4,38.8,23.8,34.3,0.0
base,2029,1610,9.6,151.3,65.4,41.3,25.3,33.5,0.0
base,2030,1637,9.6,169.4,66.3,44.2,26.6,33.0,0.0
confidence_shock,2026,1529,9.7,72.3,41.8,35.7,19.1,39.0,0.0
confidence_shock,2027,1576,10.1,97.5,51.3,37.1,25.5,61.0,0.0
confidence_shock,2028,1623,10.1,119.2,57.5,39.0,30.8,60.3,0.0
confidence_shock,2029,1672,10.0,136.9,60.4,41.5,35.2,59.9,0.0
confidence_shock,2030,1722,10.0,149.9,60.5,44.4,39.0,59.7,0.0
