scenario,year,oil,reserves_usd,months_cover,fx,inflation_pct,debt_to_gdp,dsr_pct,real_wage_idx,current_acct_usd
base_oil,2026,72,52.4,11.4,1545,9.0,36.5,55.1,65.9,9.4
base_oil,2027,74,60.8,12.2,1591,9.0,36.9,55.7,60.5,5.5
base_oil,2028,75,64.5,11.8,1639,9.0,37.3,56.3,55.5,0.6
base_oil,2029,76,62.8,10.6,1688,9.0,37.6,56.8,50.9,-4.7
base_oil,2030,78,55.8,8.6,1739,9.0,37.9,57.3,46.7,-9.9
oil_collapse,2026,45,37.6,8.2,1545,9.0,36.5,55.1,65.9,-5.4
oil_collapse,2027,40,27.4,5.5,1661,10.3,37.1,56.1,59.7,-13.1
oil_collapse,2028,48,19.0,3.6,2056,15.2,38.7,58.4,51.9,-11.4
oil_collapse,2029,55,20.7,4.4,2409,13.2,39.8,60.0,45.8,-1.4
oil_collapse,2030,60,28.6,6.5,2481,9.0,40.0,60.4,42.0,4.9
oil_boom,2026,95,65.0,14.2,1545,9.0,36.5,55.1,65.9,22.0
oil_boom,2027,98,86.6,17.3,1591,9.0,36.9,55.7,60.5,18.6
oil_boom,2028,95,101.2,18.6,1639,9.0,37.3,56.3,55.5,11.6
oil_boom,2029,92,108.2,18.2,1688,9.0,37.6,56.8,50.9,4.1
oil_boom,2030,90,107.9,16.7,1739,9.0,37.9,57.3,46.7,-3.4
