state,mpi_pct,fatalities_2024,fatalities_2025,own_shock,neighbour_spillover,conflict_exposure,compounding_risk
Kano,66.3,4,90,2.9,0.13,2.97,3.23
Kebbi,82.2,48,256,1.66,0.34,1.82,2.75
Sokoto,90.5,336,585,0.55,0.99,1.05,2.29
Jigawa,84.3,14,34,0.85,0.89,1.29,2.25
Gombe,86.2,6,16,0.89,0.49,1.13,2.17
Kwara,48.3,22,251,2.39,-0.25,2.27,1.56
Bayelsa,88.5,19,27,0.34,-0.16,0.26,1.31
Borno,72.5,2203,3863,0.56,0.72,0.92,1.26
Bauchi,73.9,35,60,0.53,0.58,0.82,1.21
Yobe,83.5,144,149,0.03,0.71,0.39,1.21
Zamfara,78.0,1429,1984,0.33,0.3,0.48,1.04
Adamawa,54.9,43,151,1.24,0.52,1.5,1.03
Taraba,79.4,130,145,0.11,0.48,0.35,0.96
Plateau,84.0,477,574,0.18,-0.14,0.11,0.93
Katsina,72.7,1319,1435,0.08,0.79,0.48,0.77
Benue,75.0,661,895,0.3,0.03,0.32,0.71
Kogi,61.3,64,154,0.87,0.08,0.91,0.69
Niger,69.1,554,628,0.13,0.6,0.43,0.54
Cross River,75.4,32,34,0.06,-0.26,-0.07,0.3
Ebonyi,78.0,78,60,-0.26,0.02,-0.25,0.23
Rivers,62.4,64,60,-0.06,-0.21,-0.17,-0.46
Kaduna,73.9,819,325,-0.92,0.39,-0.73,-0.51
Nasarawa,60.7,118,89,-0.28,-0.03,-0.29,-0.68
Ondo,27.2,17,64,1.28,-0.31,1.13,-0.76
Ogun,68.1,95,37,-0.93,0.19,-0.83,-0.91
Osun,40.7,24,33,0.31,0.04,0.33,-0.98
Edo,35.4,125,114,-0.09,0.44,0.13,-1.47
Oyo,48.7,46,20,-0.81,0.59,-0.51,-1.52
Imo,40.7,162,142,-0.13,-0.13,-0.19,-1.56
Anambra,32.1,184,158,-0.15,0.01,-0.15,-1.94
Delta,31.1,149,115,-0.26,0.26,-0.13,-1.96
Abia,29.8,83,88,0.06,-0.29,-0.09,-1.98
Akwa Ibom,51.0,52,16,-1.14,0.02,-1.13,-2.09
Enugu,31.6,88,62,-0.35,0.11,-0.29,-2.12
FCT,40.4,129,62,-0.72,-0.05,-0.75,-2.2
Lagos,29.4,107,103,-0.04,-0.93,-0.5,-2.46
Ekiti,36.0,16,2,-1.73,1.21,-1.13,-2.84
