state,zone,population_m,mpi_headcount_pct,igr_ngn_bn,poverty_rate_pct,fragility_score,acled_fatalities_2024,acled_fatalities_2025
Abia,SE,4.84,29.8,40.01,5.0,1,83,88
Adamawa,NE,5.24,54.9,20.30,63.7,3,43,151
Akwa Ibom,SS,5.78,51.0,75.77,18.4,1,52,16
Anambra,SE,7.30,32.1,42.69,8.8,2,184,158
Bauchi,NE,7.54,73.9,32.43,49.7,2,35,60
Bayelsa,SS,2.39,88.5,64.01,13.3,1,19,27
Benue,NC,6.69,75.0,20.43,41.6,3,661,895
Borno,NE,6.65,72.5,27.80,,3,2203,3863
Cross River,SS,4.18,75.4,47.02,25.4,2,32,34
Delta,SS,6.11,31.1,157.79,2.9,2,149,115
Ebonyi,SE,4.01,78.0,13.18,19.3,2,78,60
Edo,SS,5.53,35.4,91.15,8.8,2,125,114
Ekiti,SW,3.40,36.0,35.21,26.1,1,16,2
Enugu,SE,5.40,31.6,180.50,6.7,2,88,62
FCT,NC,4.80,40.4,282.36,11.7,1,129,62
Gombe,NE,4.62,86.2,20.72,47.3,2,6,16
Imo,SE,6.07,40.7,25.27,1.3,2,162,142
Jigawa,NW,6.98,84.3,59.46,78.8,2,14,34
Kaduna,NW,8.32,73.9,71.57,37.3,3,819,325
Kano,NW,16.25,66.3,74.77,40.9,2,4,90
Katsina,NW,9.30,72.7,39.15,55.3,3,1319,1435
Kebbi,NW,6.00,82.2,16.97,38.9,2,48,256
Kogi,NC,5.05,61.3,32.01,39.9,2,64,154
Kwara,NC,4.26,48.3,71.20,19.6,1,22,251
Lagos,SW,15.77,29.4,1261.56,3.8,1,107,103
Nasarawa,NC,3.63,60.7,25.52,44.2,2,118,89
Niger,NC,6.72,69.1,34.66,72.8,3,554,628
Ogun,SW,6.45,68.1,194.93,17.7,1,95,37
Ondo,SW,5.65,27.2,31.25,21.5,2,17,64
Osun,SW,4.24,40.7,54.77,16.2,1,24,33
Oyo,SW,7.51,48.7,65.29,5.5,1,46,20
Plateau,NC,5.40,84.0,31.14,43.3,3,477,574
Rivers,SS,7.23,62.4,317.30,15.7,2,64,60
Sokoto,NW,6.16,90.5,20.85,79.9,3,336,585
Taraba,NE,4.33,79.4,17.46,80.4,3,130,145
Yobe,NE,4.35,83.5,11.08,59.0,3,144,149
Zamfara,NW,5.52,78.0,25.46,62.0,3,1429,1984
