year,federal_debt_held_by_public_pct_gdp,fiscal_deficit_pct_gdp,net_interest_pct_gdp,net_interest_pct_revenue,fed_balance_sheet_pct_gdp,foreign_held_treasury_pct,usd_share_global_reserves_pct,niip_pct_gdp,10y_real_yield_pct
1960,43.66,0.06,2.56,14.83,,,,,
1961,42.40,-0.59,2.47,14.62,,,,,
1962,41.06,-1.18,2.50,14.64,,,,,
1963,39.85,-0.75,2.55,14.60,,,,,
1964,37.52,-0.86,2.56,15.71,,,,,
1965,35.13,-0.19,2.50,15.44,,,,,
1966,32.42,-0.45,2.49,14.75,,,,,
1967,31.00,-1.01,2.55,14.99,,,,,
1968,30.78,-2.67,2.61,14.39,,,,,
1969,27.33,0.32,2.70,14.32,,,,,
1970,26.39,-0.26,3.11,18.00,,5.06,,,
1971,26.01,-1.98,3.02,18.48,,10.85,,,
1972,25.21,-1.83,2.94,17.18,,12.13,,,
1973,23.92,-1.05,3.04,17.37,,11.66,,,
1974,22.24,-0.40,3.11,17.23,,11.94,,,
1975,23.43,-3.16,3.11,18.95,,11.53,,,
1976,25.48,-3.94,3.14,18.26,,11.95,,4.30,
1977,26.38,-2.58,3.13,17.94,,15.24,,4.74,
1978,25.82,-2.52,3.36,18.67,,16.87,,5.45,
1979,24.37,-1.55,3.48,18.78,,14.08,,8.84,
1980,24.92,-2.58,3.76,20.15,,13.94,,10.39,
1981,24.61,-2.46,4.16,21.48,,13.28,,7.08,
1982,27.65,-3.83,4.57,24.68,,12.49,,7.13,
1983,31.30,-5.72,4.59,25.90,,11.79,,7.20,
1984,32.37,-4.59,4.80,27.25,,11.60,,3.47,
1985,34.74,-4.89,4.93,27.55,,11.55,,2.40,
1986,38.01,-4.83,4.90,27.41,,11.89,,2.39,
1987,38.92,-3.08,4.78,25.83,,12.32,,1.23,
1988,39.18,-2.96,4.73,25.76,,13.49,,0.41,
1989,38.83,-2.71,4.78,25.87,,14.43,,-0.60,
1990,40.44,-3.71,4.85,26.58,,14.48,,-2.51,
1991,43.67,-4.37,4.94,27.47,,13.70,,-3.95,
1992,46.01,-4.45,4.71,26.59,,13.81,,-6.63,
1993,47.36,-3.72,4.54,25.30,,14.34,,-1.78,
1994,47.11,-2.79,4.40,24.14,,13.90,,-1.51,
1995,47.18,-2.15,4.61,24.86,,16.74,,-3.63,
1996,46.25,-1.33,4.46,23.43,,20.70,,-4.07,
1997,43.98,-0.26,4.26,21.93,,22.56,,-9.19,
1998,41.06,0.76,4.03,20.42,,22.78,,-11.41,
1999,37.72,1.30,3.66,18.48,,21.96,71.0,-10.41,
2000,33.26,2.30,3.45,17.11,,17.93,71.1,-14.99,
2001,31.37,1.21,3.13,16.30,,17.50,71.5,-21.68,
2002,32.39,-1.44,2.76,16.10,,19.29,66.5,-22.05,
2003,34.16,-3.30,2.55,15.39,,21.76,65.8,-20.01,2.06
2004,35.16,-3.38,2.50,15.09,,24.35,65.5,-19.34,1.83
2005,35.22,-2.44,2.64,14.94,,24.89,66.5,-14.24,1.81
2006,34.95,-1.80,2.69,14.66,,24.23,65.0,-13.09,2.31
2007,34.79,-1.11,2.82,15.29,,25.50,63.9,-8.84,2.29
2008,39.29,-3.10,2.63,15.04,15.16,28.76,63.8,-27.05,1.77
2009,52.11,-9.76,2.45,15.81,15.43,29.93,62.0,-18.14,1.66
2010,59.93,-8.60,2.53,15.59,16.08,31.63,61.8,-16.69,1.15
2011,64.93,-8.33,2.73,16.53,18.76,32.89,62.4,-28.56,0.55
2012,69.41,-6.62,2.60,15.65,17.89,33.92,61.2,-28.11,-0.48
2013,70.98,-4.03,2.47,13.27,23.89,33.76,61.0,-32.25,0.07
2014,72.58,-2.75,2.49,13.33,25.54,33.94,65.1,-39.87,0.44
2015,71.70,-2.42,2.35,12.45,24.52,32.47,65.7,-41.49,0.45
2016,75.34,-3.11,2.42,13.13,23.67,30.05,65.4,-43.92,0.27
2017,74.78,-3.39,2.43,13.61,22.68,30.31,62.7,-39.93,0.46
2018,76.25,-3.77,2.62,15.09,19.73,28.53,61.7,-47.42,0.83
2019,78.00,-4.57,2.68,15.58,19.34,29.50,60.8,-54.16,0.40
2020,98.32,-14.48,2.44,13.83,34.45,25.48,58.9,-55.65,-0.60
2021,93.92,-11.69,2.42,12.95,36.91,26.13,58.5,-64.73,-0.91
2022,93.09,-5.27,2.78,14.16,32.82,22.90,58.4,-54.60,0.43
2023,94.33,-6.07,3.37,19.47,27.73,23.35,58.4,-61.57,1.68
2024,96.23,-6.20,3.82,21.61,23.50,23.80,57.8,-75.53,1.94
2025,98.07,-5.77,3.85,20.86,21.59,24.07,56.9,-71.11,1.96
