president,party,term_start,term_end,avg_gdp_growth,jobs_added_m,unemp_start,unemp_end,avg_inflation,sp500_annual_return,avg_deficit_pct_gdp,debt_gdp_change_pts,recessions,years,jobs_per_yr,unemp_change
Truman,D,1945-04,1953-01,4.83,8.7,,2.9,3.65,8.13,-2.68,,1,7.75,1.1225806451612903,
Eisenhower,R,1953-01,1961-01,2.37,3.54,2.9,6.6,1.43,10.86,-0.51,,3,8.0,0.4425,3.6999999999999997
Kennedy/Johnson,D,1961-01,1969-01,5.31,15.76,6.6,3.4,2.27,6.92,-0.96,,0,8.0,1.97,-3.1999999999999997
Nixon/Ford,R,1969-01,1977-01,2.68,11.25,3.4,7.5,6.41,0.22,-1.54,-2.5,2,8.0,1.40625,4.1
Carter,D,1977-01,1981-01,3.39,10.34,7.5,7.5,10.4,6.39,-2.31,-2.8,1,4.0,2.585,0.0
Reagan,R,1981-01,1989-01,3.43,16.13,7.5,5.4,4.2,10.01,-4.05,18.9,1,8.0,2.01625,-2.0999999999999996
G.H.W. Bush,R,1989-01,1993-01,2.0,2.63,5.4,7.3,4.19,11.13,-3.81,13.1,1,4.0,0.6575,1.8999999999999995
Clinton,D,1993-01,2001-01,3.74,22.91,7.3,4.2,2.62,15.05,-0.73,-7.7,0,8.0,2.86375,-3.0999999999999996
G.W. Bush,R,2001-01,2009-01,1.75,1.38,4.2,7.8,2.38,-5.28,-1.92,22.0,2,8.0,0.1725,3.5999999999999996
Obama,D,2009-01,2017-01,2.2,11.55,7.8,4.7,1.76,12.84,-5.7,25.8,0,8.0,1.44375,-3.0999999999999996
Trump-1,R,2017-01,2021-01,2.1,-2.77,4.7,6.4,1.9,13.64,-6.55,21.1,1,4.0,-0.6925,1.7000000000000002
Biden,D,2021-01,2025-01,2.8,15.4,6.4,4.0,4.97,12.05,-7.31,-3.5,0,4.0,3.85,-2.4000000000000004
Trump-2,R,2025-01,2026-06,2.69,0.72,4.0,4.2,3.53,16.84,-5.77,2.0,0,1.4166666666667425,0.5082352941176198,0.20000000000000018
