country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
United Kingdom,10635.38,10937.97,3833.96,2131.84,4345.67,6007.99,11009.22,4168.57,2288.35,2764.37,1137.30,6279.11,12210.78
United States,4146.54,3737.43,2454.20,945.59,2466.93,3579.25,4694.30,741.82,677.54,286.92,442.66,931.49,3067.13
South Africa,461.33,278.23,261.04,176.88,614.43,1152.72,2351.42,875.89,1054.27,428.73,378.49,1478.29,2805.90
Netherlands,217.46,553.58,1151.97,516.89,234.44,373.08,607.22,890.58,409.89,171.27,391.43,1207.43,686.75
Mauritius,673.74,492.08,553.59,129.01,483.09,560.87,644.60,366.69,690.91,208.66,331.07,710.34,1853.43
Singapore,158.81,114.08,160.23,276.46,671.01,780.87,1017.55,539.31,464.40,420.97,470.68,246.78,202.66
United Arab Emirates,36.74,321.11,61.14,51.15,338.65,937.20,790.74,899.44,357.46,281.78,328.48,388.00,728.81
China,85.80,116.89,10.31,16.78,50.65,45.89,45.53,42.30,10.43,25.36,22.41,59.09,38.67
Belgium,1293.30,954.08,336.56,78.80,1025.35,886.08,595.55,77.44,40.21,21.22,4.47,176.79,356.50
Switzerland,2541.40,155.41,117.60,272.01,415.91,355.98,383.99,7.60,4.20,10.55,14.17,34.63,19.48
France,67.33,242.84,162.42,76.59,152.72,111.55,281.12,92.04,4.70,4.02,10.13,45.56,187.66
Luxembourg,59.36,76.30,46.63,139.05,116.81,214.03,126.94,51.29,74.04,35.64,5.83,37.60,115.90
Hong Kong,76.46,155.29,38.53,59.70,12.61,184.02,166.71,88.23,37.56,165.35,40.74,56.19,39.00
Ghana,0.75,0.09,0.06,0.12,20.10,626.44,0.26,27.31,4.47,0.00,0.10,3.85,4.15
