sector,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Banking,671.80,964.18,913.54,932.51,937.12,2022.76,7658.49,3751.07,1460.84,2089.60,832.64,7000.49,13528.71
Financing,2375.77,2708.31,858.89,95.34,318.55,1487.57,6281.21,1894.49,784.28,791.16,445.94,1289.69,6768.90
Shares,15665.24,13806.79,5726.29,1466.04,7502.52,10425.18,5335.30,1852.20,1093.89,469.42,294.08,326.04,271.42
Production/Manufacturing,391.33,943.97,423.70,302.65,981.45,670.85,1297.32,913.88,934.11,948.43,1590.79,1426.89,772.45
Telecomms,913.60,994.33,938.13,931.20,544.60,114.43,944.05,417.48,107.46,456.83,134.75,456.59,496.27
Oil And Gas,129.62,208.18,29.76,720.15,331.36,133.51,216.23,53.51,101.82,6.37,3.64,5.12,17.98
Trading,280.06,385.61,167.54,124.92,55.65,131.56,534.52,287.96,587.96,265.35,237.52,1171.27,249.54
Agriculture,82.37,24.32,98.33,22.47,159.06,289.48,489.91,300.78,366.07,95.80,19.91,51.66,167.25
Construction,47.72,55.69,28.02,32.48,98.35,53.72,30.28,22.00,1.64,7.81,0.45,66.21,5.94
Servicing,630.97,551.31,200.47,298.91,1095.04,1297.48,915.51,68.44,15.29,150.54,0.00,3.44,0.00
TOTAL (all sectors),21318.38,20750.76,9643.01,5124.10,12228.57,16812.47,23990.05,9680.49,6700.51,5328.88,3905.99,12322.32,23220.82
