year,total_usd_million,fdi_usd_million,portfolio_investment_usd_million,other_investment_usd_million,note
2010,5995.7,728.93,3866.91,1399.86,
2011,7903.77,1753.34,4513.12,1637.3,
2012,16615.92,1999.87,13487.51,1128.53,
2013,21318.38,1279.43,17369.25,2669.7,
2014,20750.76,2277.04,14917.17,3556.54,
2015,9643.01,1447.0,6001.0,2195.0,FDI/Portfolio/Other split is a derived estimate
2016,5124.1,1044.0,1811.9,2268.2,
2017,12228.57,981.75,7329.06,3917.75,
2018,16812.47,1194.67,11802.27,3815.53,
2019,23990.05,934.34,16365.46,6690.25,
2020,9680.49,1028.91,5137.2,3514.39,
2021,6700.51,698.78,3385.59,2616.14,
2022,5328.88,468.08,2442.24,2418.56,
2023,3905.99,377.38,1153.01,2375.61,
2024,12322.32,674.71,8378.77,3268.85,
2025,23220.82,923.01,19744.64,2553.19,
