year,wb_imf_fdi_net_inflows_usd,wb_fdi_net_inflows_pct_gdp,unctad_fdi_inflows_usd_million,unctad_fdi_outflows_usd_million,unctad_fdi_inward_stock_usd_million,nbs_fdi_gross_usd_million,cbn_fdi_usd_million,cbn_fdi_naira_million
2000,1140167556.02,1.648,1309.7,168.9,23786.4,,,115952.2
2001,1190618643.59,1.619,1277.4,93.9,25063.8,,,132433.6
2002,1874070753.14,1.972,2040.2,172.2,27104.0,,,225224.8
2003,2005353563.06,1.915,2171.4,167.3,29275.4,,,258388.6
2004,1874060886.98,1.38,2127.1,-260.8,31402.5,,,248224.5
2005,4982533930.22,2.836,4978.3,14.6,26345.0,,4978.3,
2006,4854353979.09,2.036,4897.8,322.5,31242.8,,4897.8,
2007,6036021404.82,2.169,6086.7,875.0,37329.5,,6086.7,
2008,8194071895.46,2.414,8248.6,1058.3,45578.2,,8248.6,
2009,8555990006.72,2.9,8649.5,1542.0,54227.7,,8649.5,
2010,6026253091.35,1.642,6099.0,922.7,66796.6,728.93,6099.0,
2011,8841062050.77,2.133,8914.9,823.6,80138.7,1753.34,8914.9,
2012,7069908427.94,1.524,7127.4,1542.6,97514.1,1999.87,7127.4,
2013,5562857987.47,1.07,5608.5,1237.5,118114.2,1279.43,5608.5,
2014,4693828631.9,0.817,4693.8,1614.3,142816.3,2277.04,4693.8,
2015,3064168904.45,0.622,3064.2,1435.2,142753.1,1447.0,3064.2,
2016,3453258407.98,0.853,3453.3,335.5,90002.3,1044.0,3453.3,
2017,2412974916.23,0.642,2413.0,310.8,75510.4,981.75,2413.0,
2018,775247400.0,0.184,775.2,565.6,80392.2,1194.67,775.2,
2019,2305099811.7,0.345,2305.1,285.3,84627.3,934.34,2305.1,
2020,2385277665.92,0.398,2385.3,1473.3,87012.6,1028.91,2385.3,
2021,3313210000,0.544,3313.2,1817.9,87525.4,698.78,3313.2,
2022,-186792428.93,-0.029,894.8,-2811.1,86239.4,468.08,-186.8,
2023,1872520530.05,0.384,1872.5,-255.8,75197.6,377.38,1870.0,
2024,1080310701.18,0.428,1080.3,-408.0,69210.1,674.71,1080.0,
2025,,,,,,923.01,,
