year,wb_portfolio_equity_net_inflows_usd,wb_portfolio_investment_net_usd,nbs_portfolio_investment_gross_usd_million,cbn_fpi_usd_million,cbn_fpi_naira_million
2000,,-502264890.59,,,51079.1
2001,,-831771646.91,,,92518.9
2002,,-133938021.8,,,24789.2
2003,,-182894058.19,,,23555.5
2004,,-177818881.72,,,23541.0
2005,750775094.4,487949764.23,,883.0,
2006,1769162544.86,-1288018525.48,,2825.6,
2007,1447330958.33,-799672941.06,,2665.5,
2008,-953448580.26,3401810908.07,,1334.3,
2009,487342221.92,345305077.92,,481.7,
2010,2153299955.09,-2586452803.89,3866.91,3747.9,
2011,2570808286.62,-3540318310.01,4513.12,5192.8,
2012,9959018733.21,-14992409829.63,13487.51,17200.5,
2013,5532059839.77,-10320930912.99,17369.25,13652.2,
2014,1044955627.95,-1843622657.51,14917.17,5292.8,
2015,-476619500,-858700673.5,6001.0,2535.2,
2016,325125000.0,-1894322228.78,1811.9,1887.7,
2017,1360441234.49,-10331328579.74,7329.06,10513.8,
2018,1259167883.86,6779467.05,11802.27,394.7,
2019,-1548463201.73,-3090853025.27,16365.46,3178.4,
2020,-255230064.9,3691340692.28,5137.2,-3585.3,
2021,71602136.46,-5343327271.4,3385.59,6099.2,
2022,293462952.9,-3864707334.29,2442.24,4556.5,
2023,1588279928.25,-6216386547.5,1153.01,6470.0,
2024,1917042383.32,-13027259101.03,8378.77,13350.0,
2025,,,19744.64,,
