year,d_gfc_2008_09,d_oil_crash_2014_16,d_recession_2016,d_covid_2020,d_fx_liberalization_2023ff
2000,0,0,0,0,0
2001,0,0,0,0,0
2002,0,0,0,0,0
2003,0,0,0,0,0
2004,0,0,0,0,0
2005,0,0,0,0,0
2006,0,0,0,0,0
2007,0,0,0,0,0
2008,1,0,0,0,0
2009,1,0,0,0,0
2010,0,0,0,0,0
2011,0,0,0,0,0
2012,0,0,0,0,0
2013,0,0,0,0,0
2014,0,1,0,0,0
2015,0,1,0,0,0
2016,0,1,1,0,0
2017,0,0,0,0,0
2018,0,0,0,0,0
2019,0,0,0,0,0
2020,0,0,0,1,0
2021,0,0,0,0,0
2022,0,0,0,0,0
2023,0,0,0,0,1
2024,0,0,0,0,1
2025,0,0,0,0,1
