year,total_reserves_usd,external_debt_stock_usd,debt_service_pct_exports,current_account_balance_usd,current_account_pct_gdp,net_errors_omissions_usd,fdi_net_outflows_usd,electricity_access_pct,oil_rents_pct_gdp,stock_market_cap_usd,stock_market_cap_pct_gdp,gdp_deflator_inflation_pct,real_effective_exch_rate_idx,interest_rate_risk_premium_pct,tax_revenue_pct_gdp,exports_pct_gdp,imports_pct_gdp
2000,10099448197.54,33514256077.2,9.0257,7427061115.99,10.7372,1848718386.59,168938510,43.2,22.0499,,,22.6737,70.1588,5.7742,,,
2001,10646598366.05,34976644763.9,13.139,2477762769.01,3.3685,779100747.32,93883560,43.9,15.2355,,,10.0765,78.1794,5.9383,,,
2002,7566806239.09,36779630348.3,8.4017,1083110754.1,1.1395,837436077.94,172161490,44.6,11.1446,2373940000,2.4975,21.1091,78.4168,5.7383,,,
2003,7415087386.0,41856858871.2,6.189,3390606191.58,3.2372,5633567567.84,167321370,52.2,12.1202,,,9.8043,73.6695,5.9233,,,
2004,17256543969.16,45910626685.7,4.8415,16840536007.67,12.4042,4711164756.94,-260755090,46.1,14.4183,15865940000,11.6863,22.3683,75.3143,4.8417,,,
2005,28632051717.21,33654648314.5,16.3965,36529017085.34,20.794,-17344525180.09,14635077.18,46.8,17.6958,22244000000,12.6623,19.8585,86.2637,10.1208,,,
2006,42735039033.31,17491682578.5,11.5792,36517576727.87,15.3142,-17150967081.65,319618789.76,47.6,14.8804,32830510000,13.768,23.8644,91.4368,8.0142,,,
2007,51906164585.68,19484330676.5,2.3726,27648255973.96,9.9361,-14401689658.98,867680640.35,50.1,13.8344,84894570000,30.509,7.0997,90.5243,10.1192,,,
2008,53598093556.54,20418957892.7,0.8892,29145209282.71,8.5853,-20776244179.22,1051265239.84,50.3,15.5299,48062280000,14.1578,7.9214,99.5581,6.9325,,,
2009,43129830238.1,22748897639.8,1.0916,13869493318.0,4.7014,-26380225476.87,1525344474.74,50,8.674,32223400000,10.9229,0.6861,92.6484,15.2058,,,
2010,33305051215.7,29148883008.7,0.7163,13111276866.05,3.5726,-15144320037.3,911719866.47,48,12.0986,50546400000,13.7732,16.3428,100,13.7367,,,
2011,33691784435.74,34129232146,0.677,10668377374.36,2.574,-5264809973.44,816759862.41,55.9,15.5113,39028390000,9.4165,9.7785,100.5038,6.3192,,,
2012,44973806131.66,39282745538.8,0.8521,17374274674.83,3.7447,-4998421610.23,1530123712.35,53,13.0905,56205200000,12.1139,9.9476,110.498,3.1567,,,
2013,43675023637.58,42604005424.4,1.0464,19048981238.38,3.6624,-26734805125.6,1227434198.22,55.6,9.8801,80609900000,15.4984,4.9647,117.5462,5.87,,,
2014,35070259874.49,46672476310.2,2.7443,906535877.21,0.1579,-13192769294.39,1614294500,54.2,7.0739,62766310000,10.9314,4.6626,124.8401,6.0058,,,
2015,29011450144.31,45024833871.7,4.7848,-15438642533.97,-3.1314,20773244148.42,1435203636.69,52.5,2.7835,49973880000,10.1361,2.8637,119.8626,7.4558,,,
2016,28020197619.34,43735939488.9,12.8053,5077217476.11,1.2547,-15355378310.3,335464994.2,59.3,2.6843,29792434000.26,7.3625,9.5437,110.861,6.7272,,,
2017,40499220796.37,65142821169.8,7.4017,13563765219.29,3.6098,-18819188732.73,310830719.0,54.4,5.4726,37217620000,9.905,11.1189,101.4484,4.14,,,
2018,42838869124.79,69440288784.6,8.4583,7283154462.97,1.7269,-7183702241.5,565569111.65,56.5,7.6907,31520550000,7.4739,10.2285,109.9044,6.8191,,,
2019,39382191478.77,81342753974.7,9.2393,-13685219004.2,-2.048,-7750137909.96,285318845.9,55.4,6.5148,43921600000,6.5729,55.4449,124.1831,5.7416,,,
2020,38028751517.61,87591245939.4,13.0926,-15985927540.77,-2.6706,16961330919.4,1473332437.3,55.4,3.3124,55244140000,9.2291,11.2525,119.5157,12.0095,,,
2021,41727503547.23,96254706293.5,15.111,-3254163170.28,-0.5342,-3095813146.45,1817909994.5,59.5,6.2467,54230600000,8.9027,12.6369,117.0536,9.3165,,,
2022,36809762970.2,103064224482.6,12.0373,1018598846.08,0.1574,-7513481266.88,-67063088.27,60.5,,62380710000,9.6423,8.0466,133.3295,8.7704,,,
2023,33452495121.73,102472750412.9,15.3919,6423222719.52,1.3179,-24898571477.35,255843349.33,61.2,,46449580000,9.5303,10.8226,115.5765,9.2781,,,
2024,40405994024.8,108757630161.5,21.9136,17215269315.54,6.8244,-5095537479.13,407953707.72,,,54400940000,21.5653,14.0897,63.9268,,,,
2025,,,,,,,,,,86942760000,,,,,,,
