year,fdi_bop_usd_million,fdi_bop_pct_gdp,fdi_bop_per_capita_usd,fdi_bop_real_usd_m_2024,fdi_bop_ihs,fdi_bop_log,fdi_bop_yoy_pct,fdi_bop_first_diff,fdi_bop_vol3,fpi_bop_usd_million,fpi_bop_pct_gdp,fpi_bop_per_capita_usd,fpi_bop_real_usd_m_2024,fpi_bop_ihs,fpi_bop_log,fpi_bop_yoy_pct,fpi_bop_first_diff,fpi_bop_vol3,fpi_cbn_usd_million,fpi_cbn_pct_gdp,fpi_cbn_per_capita_usd,fpi_cbn_real_usd_m_2024,fpi_cbn_ihs,fpi_cbn_log,fpi_cbn_yoy_pct,fpi_cbn_first_diff,fpi_cbn_vol3,nbs_fdi_usd_million,nbs_fdi_pct_gdp,nbs_fdi_per_capita_usd,nbs_fdi_real_usd_m_2024,nbs_fdi_ihs,nbs_fdi_log,nbs_fdi_yoy_pct,nbs_fdi_first_diff,nbs_fdi_vol3,nbs_fpi_usd_million,nbs_fpi_pct_gdp,nbs_fpi_per_capita_usd,nbs_fpi_real_usd_m_2024,nbs_fpi_ihs,nbs_fpi_log,nbs_fpi_yoy_pct,nbs_fpi_first_diff,nbs_fpi_vol3,fpi_fdi_ratio_nbs,fdi_share_total_nbs_pct,portfolio_share_total_nbs_pct,fdi_net_vs_gross_gap_usd_m,fdi_source_spread_usd_m,gov_composite_index,exch_rate_depreciation_pct
2000,1140.1676,1.6483,9.0216,2077.1532,7.7321,7.0389,,,,-502.2649,-0.7261,-3.9742,-915.0244,-6.9123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.5324,-1.2698,
2001,1190.6186,1.6186,9.1683,2109.644,7.7754,7.0822,4.4249,50.4511,,-831.7716,-1.1308,-6.405,-1473.807,-7.4167,,-65.6042,-329.5068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.7814,,9.3749
2002,1874.0708,1.9716,14.0409,3268.4909,8.229,7.5359,57.4031,683.4521,334.7082,-133.938,-0.1409,-1.0035,-233.5959,-5.5905,,83.8973,697.8336,285.0363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.1292,-1.4785,8.4031
2003,2005.3536,1.9146,14.616,3418.8899,8.2967,7.6036,7.0052,131.2828,357.1702,-182.8941,-0.1746,-1.333,-311.8127,-5.9021,,-36.5513,-48.956,318.0515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0464,-1.3663,7.169
2004,1874.0609,1.3804,13.2858,3112.0356,8.229,7.5359,-6.5471,-131.2927,61.8896,-177.8189,-0.131,-1.2606,-295.2832,-5.8739,,2.7749,5.0752,21.9797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0391,-1.26,2.8367
2005,4982.5339,2.8363,34.3582,8004.4986,9.2068,8.5137,165.8683,3108.473,1435.4034,487.9498,0.2778,3.3648,783.897,6.8834,6.1902,374.4083,665.7686,315.0494,883.0,0.5026,6.0889,1418.5497,7.4765,6.7833,,,,,,,,,,,,,,,,,,,,,,,,,,4.2339,-1.1953,-1.2143
2006,4854.354,2.0358,32.5627,7555.1426,9.1808,8.4876,-2.5726,-128.18,1436.0897,-1288.0185,-0.5402,-8.6399,-2004.6259,-7.854,,-363.9654,-1775.9683,732.5643,2825.6,1.185,18.9539,4397.6626,8.6396,7.9465,220.0,1942.6,,,,,,,,,,,,,,,,,,,,,,,,43.446,-1.1218,-1.9978
2007,6036.0214,2.1692,39.3823,9132.1057,9.3986,8.7055,24.3424,1181.6674,529.4236,-799.6729,-0.2874,-5.2175,-1209.8529,-7.3774,,37.9145,488.3456,749.1118,2665.5,0.9579,17.3912,4032.7272,8.5813,7.8881,-5.6661,-160.1,880.4439,,,,,,,,,,,,,,,,,,,,,,,50.6786,-1.0667,-2.2103
2008,8194.0719,2.4137,51.9945,11941.5311,9.7043,9.0112,35.7529,2158.0505,1382.7202,3401.8109,1.0021,21.5858,4957.5878,8.8252,8.1321,525.4003,4201.4838,2105.1642,1334.3,0.393,8.4666,1944.5259,7.8893,7.1962,-49.9418,-1331.2,668.4726,,,,,,,,,,,,,,,,,,,,,,,54.5281,-1.0267,-5.7559
2009,8555.99,2.9002,52.7986,12509.0418,9.7475,9.0544,4.4168,361.9181,1112.4751,345.3051,0.117,2.1309,504.8435,6.5376,5.8444,-89.8494,-3056.5058,1773.4357,481.7,0.1633,2.9725,704.2558,6.8705,6.1773,-63.8987,-852.6,898.6411,,,,,,,,,,,,,,,,,,,,,,,93.51,-1.0443,25.5665
