year,VA_est,PV_est,GE_est,RQ_est,RL_est,CC_est,VA_score_0_100,PV_score_0_100,GE_score_0_100,RQ_score_0_100,RL_score_0_100,CC_score_0_100
2000,-0.87,-1.627,-1.267,-1.202,-1.226,-1.427,41.63,38.11,26.7,35.9,35.87,18.96
2001,,,,,,,,,,,,
2002,-0.911,-2.064,-1.526,-1.156,-1.526,-1.688,40.9,30.64,21.66,36.64,30.7,13.68
2003,-0.879,-1.857,-1.373,-1.148,-1.425,-1.516,41.47,34.18,24.65,36.75,32.43,17.18
2004,-0.87,-1.725,-1.092,-1.238,-1.239,-1.396,41.63,36.44,30.11,35.34,35.64,19.6
2005,-0.783,-1.734,-1.09,-1.019,-1.266,-1.28,43.14,36.28,30.15,38.79,35.17,21.95
2006,-0.662,-1.829,-1.045,-0.899,-1.107,-1.189,45.26,34.66,31.01,40.68,37.92,23.79
2007,-0.698,-1.707,-0.956,-0.841,-1.04,-1.158,44.64,36.73,32.75,41.59,39.06,24.42
2008,-0.741,-1.599,-1.017,-0.761,-0.999,-1.043,43.88,38.57,31.57,42.87,39.77,26.75
2009,-0.838,-1.482,-1.12,-0.751,-1.004,-1.071,42.18,40.58,29.56,43.02,39.68,26.19
2010,-0.887,-2.025,-1.138,-0.911,-1.116,-1.131,41.32,31.31,29.22,40.49,37.76,24.96
2011,-0.774,-1.946,-1.121,-0.876,-1.061,-1.141,43.3,32.66,29.54,41.05,38.7,24.76
2012,-0.654,-2.088,-0.97,-0.753,-1.085,-1.147,45.4,30.22,32.48,42.99,38.28,24.64
2013,-0.667,-1.989,-0.982,-0.741,-1.186,-1.185,45.18,31.91,32.25,43.18,36.56,23.86
2014,-0.633,-2.186,-1.055,-0.794,-1.132,-1.298,45.77,28.56,30.83,42.34,37.48,21.58
2015,-0.517,-1.668,-0.914,-0.74,-0.961,-1.161,47.8,37.41,33.57,43.19,40.43,24.35
2016,-0.583,-1.71,-0.919,-0.815,-0.879,-1.091,46.65,36.68,33.47,42.01,41.83,25.77
2017,-0.545,-1.91,-0.861,-0.778,-0.794,-1.144,47.31,33.27,34.6,42.59,43.3,24.69
2018,-0.498,-1.885,-0.846,-0.83,-0.814,-1.145,48.13,33.69,34.89,41.77,42.96,24.67
2019,-0.603,-1.973,-0.968,-0.865,-0.838,-1.126,46.3,32.19,32.52,41.23,42.55,25.07
2020,-0.609,-2.009,-0.984,-0.887,-0.841,-1.118,46.19,31.58,32.2,40.87,42.49,25.23
2021,-0.759,-2.014,-1.05,-0.873,-0.926,-1.191,43.56,31.5,30.92,41.1,41.02,23.75
2022,-0.767,-1.953,-1.057,-0.996,-1.0,-1.225,43.43,32.54,30.79,39.15,39.76,23.06
2023,-0.737,-1.956,-0.868,-0.827,-0.935,-1.099,43.95,32.48,34.47,41.81,40.88,25.61
2024,-0.727,-2.003,-1.007,-0.633,-1.007,-1.115,44.13,31.69,31.77,44.87,39.63,25.29
2025,,,,,,,,,,,,
