year,greenfield_value_usd_million,greenfield_num_projects,manda_net_sales_usd_million,manda_net_purchases_usd_million
2003,4223.5,24,0,0.122
2004,5995.1,18,9.628,0
2005,8429.9,32,25,0
2006,5649.4,23,4008.149,0
2007,1762.7,19,484.97,195.852
2008,25122.8,40,-597.193,418.388
2009,6827.0,43,-197,24.705
2010,7834.1,34,476.05,0
2011,3904.3,52,539.361,0.922
2012,4314.3,67,-159.154,39.77
2013,7609.9,79,537.022,240.286
2014,10276.6,60,997.636,2108.775
2015,8018.1,53,1026.6,-335.66
2016,6739.9,51,993.649,122.455
2017,4864.6,39,-295.559,-30.5
2018,7965.3,64,219.62,-49.489
2019,10257.1,80,197.237,472.807
2020,5943.6,54,417.388,30.15
2021,1748.7,44,-531.156,0
2022,2011.8,50,531.684,7.15
2023,9198.4,61,316.75,18.708
2024,4867.4,49,-1870.487,0
