year,ti_cpi_score,ti_cpi_scale,ti_cpi_rank,doingbiz_rank_reportyear,doingbiz_dtf_score_0_100,heritage_econ_freedom_score,heritage_rank,fraser_efw_index_0_10,fraser_efw_rank,icrg_political_risk_0_100
2000,1.2,0-10,90,,,53.1,,4.96,129,
2001,1.0,0-10,90,,,49.6,,4.87,133,
2002,1.6,0-10,101,,,50.9,,5.39,120,
2003,1.4,0-10,132,,,49.5,,5.52,116,
2004,1.6,0-10,144,,,49.2,,5.51,121,
2005,1.9,0-10,152,,,48.4,,5.85,108,
2006,2.2,0-10,142,94,,48.7,,6.04,103,
2007,2.2,0-10,147,108,,55.6,131,6.02,110,
2008,2.7,0-10,121,108,,55.1,105,5.75,114,
2009,2.5,0-10,130,118,,55.1,117,5.65,124,
2010,2.4,0-10,134,125,,56.8,106,5.86,121,
2011,2.4,0-10,143,137,,56.7,111,6.11,105,45.6
2012,27,0-100,139,133,,56.3,,6.02,112,45.0
2013,25,0-100,144,131,,55.1,120,6.37,99,46.0
2014,27,0-100,136,147,,54.3,129,6.36,100,42.5
2015,26,0-100,136,170,47.33,55.6,120,6.36,99,45.0
2016,28,0-100,136,169,44.69,57.5,116,6.47,96,
2017,27,0-100,148,169,44.63,57.1,115,6.51,101,
2018,27,0-100,144,145,52.03,58.5,,6.7,88,
2019,26,0-100,146,146,52.89,57.3,111,6.71,88,
2020,25,0-100,149,131,56.9,57.2,116,6.31,103,
2021,24,0-100,154,,,58.7,105,6.52,89,
2022,24,0-100,150,,,54.4,124,6.04,110,
2023,25,0-100,145,,,53.9,124,5.89,123,
2024,26,0-100,140,,,53.1,125,,,
2025,26,0-100,142,,,53.4,127,,,
