year,gdp_current_usd,gdp_growth_pct,gdp_per_capita_usd,inflation_cpi_pct,trade_openness_pct_gdp,exchange_rate_lcu_per_usd,natural_resource_rents_pct_gdp,real_interest_rate_pct,population_total,gross_capital_formation_pct_gdp,internet_users_pct,domestic_credit_private_pct_gdp,central_govt_debt_pct_gdp,unemployment_pct
2000,69171451627.25,5.0159,547.3183,6.9333,,101.6973,24.9357,-1.1409,126382494,,0.0641,8.249,,3.953
2001,73557840064.49,5.9177,566.4282,18.8736,,111.2313,18.1012,12.1387,129862595,,0.0899,9.8808,,3.9
2002,95054059302.7,15.3292,712.1649,12.8766,,120.5782,13.6048,3.0235,133471989,,0.3205,8.0843,,3.669
2003,104738954264.23,7.3472,763.3887,14.0318,,129.2224,15.5125,9.9357,137202644,,0.5586,8.9095,,3.637
2004,135764731645.61,9.2506,962.481,14.998,,132.888,16.7755,-2.6048,141057045,,1.2861,8.4617,,3.59
2005,175670569969.35,6.4385,1211.38,17.8635,,131.2743,19.3876,-1.5937,145017253,,3.5492,8.4351,,3.727
2006,238454997161.48,6.0594,1599.54,8.2252,,128.6517,16.699,-5.628,149077334,,5.545,8.1204,,3.749
2007,278260846800.1,6.5911,1815.53,5.388,,125.8081,15.861,9.1872,153267261,,6.77,13.797,,3.794
2008,339476276257.79,6.7645,2154.11,11.5811,,118.5667,17.5903,6.6849,157595014,,8,18.633,,3.792
2009,295008835381.0,8.0369,1820.49,12.5378,,148.88,10.6511,18.18,162049464,,9.3,19.6256,,3.763
2010,366990417129.04,8.0057,2202.26,13.7401,,150.2975,13.803,1.0677,166642886,,11.5,13.4907,,3.744
2011,414466676831.16,5.3079,2418.41,10.8261,,153.8625,17.5539,5.6856,171379598,,13.8,11.0436,,3.77
2012,463971018239.28,4.2301,2633.2,12.2242,,157.5,15.1485,6.2248,176200625,,16.1,10.6047,,3.761
2013,520117180313.91,6.6713,2872.79,8.4955,,157.3117,11.6227,11.2016,181049443,,19.1,11.5332,,3.711
2014,574183763411.51,6.3097,3088.72,8.0474,,158.5526,8.7819,11.3562,185896915,,21,13.297,,3.9
2015,493026682800.63,2.6527,2585.73,9.0094,,192.4403,4.5541,13.5962,190671878,,22.5142,13.0787,,4.134
2016,404649125252.16,-1.6169,2070.41,15.6968,,253.492,4.6577,6.6862,195443700,,24.1375,14.608,,4.499
2017,375745731053.43,0.8059,1876.34,16.5023,,305.7901,7.805,5.7906,200254579,,25.8779,12.852,,4.83
2018,421739251509.08,1.9228,2057.88,12.0951,,306.0837,9.7985,6.056,204938755,,27.7437,10.2466,,5.069
2019,668219992691.46,2.2084,3189.81,11.3964,,306.921,8.3532,-25.7765,209485641,,29.7441,7.9232,,5.206
2020,598586817819.07,-6.3689,2797.18,13.246,,358.8108,5.0748,2.1479,213996181,,31.8888,8.7596,,5.714
2021,609147716972.86,1.1093,2787.49,16.9528,,401.152,8.553,-1.0243,218529286,,35.5098,9.7332,,5.404
2022,646950257577.81,4.3188,2899.16,18.8472,,425.9792,,3.9686,223150896,,39.1472,9.5617,,3.827
2023,487387801880.6,3.3268,2138.76,24.6596,,645.1941,,2.8766,227882945,,40.064,,,3.074
2024,252261880141.15,4.0624,1084.16,33.2421,,1478.97,,,232679478,,41.2114,,,3.045
2025,,,,,,,,,,,,,,
